Order,Family,Genus,Species,Authority,CommonName,AdultBodyMass,DietBreadth,Diet: invertebrates,Diet: vertebrates,Diet: fruits,Diet: flower/nectar/pollen/gums,Diet: seeds,Diet: other plant materials,Diet: scavenge; garbage; carrion; offal; carcasses,TrophicLevel,ActivityCycle,ForagingStratum,MigratoryStatus,IncubationTime,ClutchSize,EggLength,EggWidth,EggMass,NestingHabit,MaxLongevity,Dry,Humid,Montane,Subarid,Subhumid,Alaotra.Mangoro,Amoron.i.Mania,Analamanga,Analanjirofo,Androy,Anosy,Atsimo.Andrefana,Atsimo.Atsinanana,Atsinanana,Betsiboka,Boeny,Bongolava,DIANA,Haute.Matsiatra,Ihorombe,Itasy,Melaky,Menabe,SAVA,Sofia,Vakinankaratra,Vatovavy.Fitovinany,Antananarivo,Antsiranana,Fianarantsoa,Mahajanga,Toamasina,Toliara,References
Accipitriformes,Accipitridae,Accipiter,Accipiter francesiae,"Smith, 1834",Frances's Sparrowhawk ,138.5,2,yes,yes,no,no,no,no,no,3,3,3,no,31,3,3.85,-999,-999,arboreal,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 168; 376; 368; 199
Accipitriformes,Accipitridae,Accipiter,Accipiter henstii,"(Schlegel, 1873)",Henst's Goshawk ,1050,1,no,yes,no,no,no,no,no,3,2,3,no,39.5,2.5,58.5,46.95,-999,arboreal,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 200; 168
Accipitriformes,Accipitridae,Accipiter,Accipiter madagascariensis,"Smith, 1834",Madagascar Sparrowhawk ,181,2,yes,yes,no,no,no,no,no,3,3,3,no,35,2.5,38.35,31.9,-999,arboreal,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 168; 376; 202
Accipitriformes,Accipitridae,Aviceda,Aviceda madagascariensis,"(Smith, 1834)",Madagascar Baza ,292,2,yes,yes,no,no,no,no,no,3,3,3,no,31,1.5,43.7,35.2,29.1,arboreal,-999,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,376; 331; 376; 168; 254; 195
Accipitriformes,Accipitridae,Buteo,Buteo brachypterus,"Hartlaub, 1860",Madagascar Buzzard ,511,2,yes,yes,no,no,no,no,no,3,3,4,no,35.5,2,54.5,45,-999,arboreal,144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 168; 254; 376; 198; 186
Accipitriformes,Accipitridae,Circus,Circus macrosceles,"Newton, 1863",Madagascar harrier,725,2,yes,yes,no,no,no,no,no,3,3,1,no,33,2.5,47.55,37.85,36.9,terrestrial,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 102; 168
Accipitriformes,Accipitridae,Eutriorchis,Eutriorchis astur,"(Sharpe, 1875)",Madagascar Serpent-eagle ,700,1,no,yes,no,no,no,no,no,3,3,3,no,40,1.5,-999,-999,-999,arboreal,-999,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,110; 168; 376; 254; 193
Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus vociferoides,"Des Murs, 1845",Madagascar Fish-eagle ,3000,1,no,yes,no,no,no,no,no,3,3,1,no,39.7,2,69.2,52.6,100.9,arboreal,-999,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,109; 376; 201; 168
Accipitriformes,Accipitridae,Macheiramphus,Macheiramphus alcinus,"Westermann, 1851",Bat Hawk ,650,2,yes,yes,no,no,no,no,no,3,2,4,no,50.5,1,62,46,-999,arboreal,-999,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 168; 376; 203
Accipitriformes,Accipitridae,Milvus,Milvus migrans,"(Boddaert, 1783)",Black Kite ,567,3,yes,yes,no,no,no,no,yes,2,3,1,yes,32,2.5,51.1,39.15,56,arboreal,288,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 376; 22; 272; 116; 22; 219; 4
Accipitriformes,Accipitridae,Polyboroides,Polyboroides radiatus,"(Scopoli, 1786)",Madagascar Harrier-hawk ,570,2,yes,yes,no,no,no,no,no,3,3,3,no,39,2,53.3,40.55,52.5,arboreal,-999,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,376; 254; 376; 196; 168
Anseriformes,Anatidae,Anas,Anas bernieri,"(Hartlaub, 1860)",Madagascar Teal ,376,3,yes,no,no,no,yes,yes,no,2,3,1,yes,27.5,6,46,34.6,29.85,arboreal,-999,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,310; 376; 22; 41; 22
Anseriformes,Anatidae,Anas,Anas erythrorhyncha,"Gmelin, 1789",Red-billed Duck ,559.5,4,yes,no,yes,no,yes,yes,no,2,3,1,no,26.5,10,50.05,38.05,38,terrestrial,-999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 43; 168
Anseriformes,Anatidae,Anas,Anas melleri,"P.L. Sclater, 1865",Meller's Duck ,960.5,3,yes,no,no,no,yes,yes,no,2,3,1,no,28.5,8,56.2,37.4,53.45,terrestrial,-999,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,109; 254; 376; 42; 168
